Name,RA,Dec,LensScore,VisualSelection
GRALJ073722.26-002558.22,114.342755,-0.432839,1.5459083,0
GRALJ154822.15-240336.29,237.092297,-24.06008,1.5458235740661628,0
GRALJ152142.90-142854.64,230.428756,-14.481844,1.5458178,0
GRALJ010304.74-222612.54,15.769742,-22.436817,1.545749584833781,0
GRALJ164931.62+405806.73,252.381755,40.968536,1.545720636844636,0
GRALJ025142.77+473425.29,42.928218,47.573691,1.5454913000000001,0
GRALJ035756.05+700710.10,59.48354,70.119471,1.5451882000000001,0
GRALJ095549.50+205533.36,148.956243,20.925933,1.544969,0
GRALJ124459.70+581545.07,191.248741,58.262518,1.5448633999999999,0
GRALJ112529.52+154258.19,171.373017,15.716163,1.544645259777705,0
GRALJ132833.03+381503.3,202.137606,38.250916,1.5445552269617728,0
GRALJ175317.54+515202.73,268.323069,51.867426,1.5444165,0
GRALJ085221.71+121651.58,133.090443,12.280995,1.5443266000000002,0
GRALJ011607.83+335834.32,19.032619,33.976201,1.5442917,0
GRALJ150943.06+295958.72,227.42943,29.999645,1.5442672,0
GRALJ133231.06-044750.15,203.129397,-4.797264,1.5441992,0
GRALJ122807.97+204106.93,187.033212,20.685257,1.544111,0
GRALJ102306.95-270055.29,155.778978,-27.015357,1.5439780354499812,0
GRALJ142009.74-283751.52,215.040567,-28.630978,1.5439184,1
GRALJ035117.75+263345.70,57.823971,26.562694,1.5438271000000001,0
GRALJ130239.35-010130.00,195.663939,-1.025001,1.5438098,0
GRALJ123832.85+073728.84,189.63689,7.624678,1.5438000559806822,0
GRALJ155823.97+592803.63,239.599858,59.467674,1.543666581312816,0
GRALJ154822.30-240338.27,237.092896,-24.06063,1.543635070323944,0
GRALJ135300.26+350645.58,208.251103,35.112661,1.543619672457377,0
GRALJ001121.30-080526.90,2.838751,-8.090805,1.543433407942454,0
GRALJ141507.49+083059.57,213.781195,8.516547,1.5431174000000003,1
GRALJ142754.89+335435.24,216.978717,33.90979,1.5430556,0
GRALJ001800.16-171243.51,4.500682,-17.212085,1.5429184,2
GRALJ114709.35+561126.12,176.788977,56.19059,1.542789,0
GRALJ175317.48+515201.85,268.32283,51.867182,1.5426103000000002,0
GRALJ210529.23+275924.73,316.371793,27.990202,1.5426028999999999,0
GRALJ132223.28+162622.62,200.596989,16.439618,1.542538066705068,0
GRALJ143024.09+324524.40,217.600363,32.756779,1.542458772659301,0
GRALJ090137.26+444902.4,135.40525,44.817335,1.542411963144939,0
GRALJ060930.17+193555.81,92.375709,19.598837,1.5423494378725688,0
GRALJ020521.81+104645.39,31.340883,10.779274,1.5422552999999999,1
GRALJ080358.17+000028.91,120.992357,0.008031,1.5422090000000002,2
GRALJ091516.70+242627.62,138.819578,24.441005,1.5418958999999999,0
